Year,Month,Day,Closing_price
1993,9,28,252.47
1993,9,27,252.25
1993,9,24,249.63
1993,9,23,250.45
1993,9,22,247
1993,9,21,242.38
1993,9,20,245.62
1993,9,17,245.91
1993,9,16,244.85
1993,9,15,245.25
1993,9,14,249.87
1993,9,13,250.67
1993,9,10,247.41
1993,9,9,249.24
1993,9,8,247.93
1993,9,7,250.64
1993,9,6,252.09
1993,9,3,250.24
1993,9,2,249.08
1993,9,1,244.85
1993,8,31,250.13
1993,8,30,252.03
1993,8,27,247.54
1993,8,26,243.14
1993,8,25,246.6
1993,8,24,247.4
1993,8,23,251.82
1993,8,20,254.99
1993,8,19,259.21
1993,8,18,261.26
1993,8,17,253.25
1993,8,16,249.4
1993,8,13,252.08
1993,8,12,250.63
1993,8,11,245.5
1993,8,10,242.94
1993,8,9,245.05
1993,8,6,243.8
1993,8,5,241.85
1993,8,4,236.04
1993,8,3,236.77
1993,8,2,233.74
1993,7,30,233.71
1993,7,29,231.54
1993,7,28,230.41
1993,7,27,227.85
1993,7,26,228.32
1993,7,23,224.67
1993,7,22,223.2
1993,7,21,222.31
1993,7,20,225.2
1993,7,19,224.65
1993,7,16,223.9
1993,7,15,223.39
1993,7,14,222.07
1993,7,13,221.05
1993,7,12,219.52
1993,7,9,217.3
1993,7,8,214.72
1993,7,7,213.18
1993,7,6,211.56
1993,7,5,210.96
1993,7,2,211.84
1993,7,1,212.11
1993,6,30,211.04
1993,6,29,209.18
1993,6,28,209.72
1993,6,24,206.74
1993,6,23,205.56
1993,6,22,208.71
1993,6,21,208.8
1993,6,18,209.53
1993,6,17,209.74
1993,6,16,210.06
1993,6,15,207.86
1993,6,14,206.8
1993,6,11,207.37
1993,6,10,208.83
1993,6,9,208.76
1993,6,8,208.17
1993,6,7,210.19
1993,6,4,210.37
1993,6,3,211.27
1993,6,2,207.94
1993,6,1,210.74
1993,5,28,213.39
1993,5,27,213.62
1993,5,26,212.04
1993,5,25,213.21
1993,5,24,211.76
1993,5,21,213.19
1993,5,19,209.4
1993,5,18,211.01
1993,5,17,210.9
1993,5,14,210.95
1993,5,13,209.88
1993,5,12,211.89
1993,5,11,207.37
1993,5,10,208.76
1993,5,7,208.73
1993,5,6,205.84
1993,5,5,204.07
1993,5,4,201.41
1993,5,3,199.26
1993,4,30,199.35
1993,4,29,197.52
1993,4,28,197.52
1993,4,27,195.23
1993,4,26,197.37
1993,4,23,198.93
